iter	RMSE
0	15507.29097
1	15092.27376
2	14687.53743
3	14315.45628
4	13969.51262
5	13635.61821
6	13355.74055
7	13069.4126
8	12803.80753
9	12564.58982
10	12326.41978
11	12100.82469
12	11897.01405
13	11693.90796
14	11494.0807
15	11306.27325
16	11152.63964
17	11001.57828
18	10858.056
19	10726.06097
20	10589.73551
21	10475.96105
22	10361.81075
23	10242.07469
24	10141.12098
25	10041.54049
26	9941.964791
27	9844.284319
28	9744.463934
29	9653.368016
30	9575.644667
31	9495.449913
32	9418.266171
33	9344.302577
34	9275.473941
35	9229.559839
36	9159.913738
37	9105.143849
38	9051.078461
39	9002.806234
40	8944.418321
41	8900.86097
42	8849.722654
43	8810.612031
44	8770.302216
45	8729.227377
46	8688.304654
47	8649.563273
48	8612.788582
49	8583.426646
50	8544.667607
51	8513.968164
52	8464.380233
53	8436.471469
54	8403.341513
55	8364.881266
56	8336.515847
57	8321.819111
58	8306.970334
59	8283.051566
60	8263.339629
61	8237.370459
62	8204.721635
63	8172.301792
64	8147.030517
65	8119.664413
66	8091.942427
67	8076.501917
68	8062.265166
69	8029.675721
70	8025.393122
71	8008.751795
72	7987.48939
73	7969.646062
74	7942.521086
75	7922.339617
76	7910.22369
77	7893.661375
78	7874.932335
79	7866.14235
80	7834.769718
81	7810.648105
82	7799.716096
83	7787.987897
84	7778.098703
85	7763.035929
86	7757.721846
87	7751.810951
88	7738.064759
89	7720.062669
90	7713.221391
91	7704.126862
92	7679.997565
93	7655.965709
94	7636.927485
95	7627.340165
96	7607.164532
97	7581.584387
98	7567.12027
99	7549.376563
100	7529.726293
101	7517.048401
102	7501.185841
103	7493.469436
104	7484.441754
105	7479.446772
106	7475.970286
107	7469.82225
108	7457.69771
109	7444.389888
110	7435.724899
111	7427.447409
112	7421.857764
113	7411.0137
114	7394.663189
115	7377.882911
116	7376.280448
117	7366.564885
118	7361.889729
119	7355.240047
120	7332.663676
121	7326.510886
122	7323.490847
123	7307.166462
124	7288.096069
125	7278.155796
126	7277.196655
127	7272.555626
128	7269.071253
129	7265.893987
130	7264.46882
131	7247.13413
132	7232.324113
133	7219.616666
134	7216.266169
135	7204.098962
136	7198.556003
137	7195.996117
138	7183.430973
139	7166.968752
140	7163.042007
141	7156.229624
142	7148.224679
143	7140.68411
144	7125.940768
145	7121.249734
146	7119.531565
147	7119.167772
148	7114.824736
149	7102.128157
150	7087.563541
151	7084.445427
152	7075.208064
153	7062.807292
154	7055.086278
155	7046.965361
156	7040.878618
157	7030.201846
158	7028.311627
159	7026.78632
160	7016.134003
161	7010.789655
162	6999.343029
163	6989.246701
164	6983.494493
165	6973.552527
166	6966.475194
167	6956.020714
168	6953.573801
169	6949.05129
170	6941.948059
171	6927.90087
172	6925.268336
173	6921.493546
174	6917.053413
175	6914.618485
176	6889.264594
177	6882.96397
178	6879.875933
179	6870.892968
180	6861.375769
181	6857.658226
182	6852.445593
183	6852.237374
184	6845.363123
185	6838.313242
186	6836.027861
187	6835.825958
188	6828.651863
189	6822.099086
190	6818.351923
191	6816.899654
192	6807.620873
193	6804.534491
194	6794.354396
195	6786.983069
196	6786.552262
197	6783.663591
198	6778.107169
199	6775.612772
200	6766.667201
201	6762.096221
202	6757.453692
203	6755.686888
204	6751.841416
205	6739.96251
206	6728.424256
207	6724.766975
208	6722.870613
209	6714.543393
210	6702.946499
211	6694.456409
212	6684.39761
213	6679.210944
214	6672.808692
215	6660.897923
216	6659.865969
217	6644.579009
218	6632.375798
219	6628.473267
220	6625.218483
221	6621.620031
222	6613.109023
223	6610.646257
224	6591.539008
225	6580.946811
226	6567.762854
227	6564.403255
228	6563.381992
229	6557.842304
230	6550.220924
231	6548.837289
232	6547.325782
233	6546.4625
234	6538.777116
235	6536.592403
236	6533.012623
237	6531.13813
238	6527.165574
239	6518.16653
240	6510.553264
241	6504.607146
242	6495.319776
243	6493.995546
244	6491.126985
245	6487.591172
246	6485.213349
247	6480.647101
248	6478.786078
249	6472.132593
250	6471.062352
251	6467.511065
252	6462.559566
253	6461.127994
254	6443.524364
255	6440.723581
256	6439.693103
257	6438.04595
258	6433.669894
259	6422.24085
260	6421.41849
261	6411.259304
262	6409.309695
263	6407.004033
264	6404.517972
265	6397.941557
266	6395.180801
267	6386.709498
268	6385.108075
269	6377.589906
270	6372.628815
271	6368.983184
272	6366.145031
273	6360.630179
274	6351.457339
275	6348.366343
276	6343.193931
277	6340.017574
278	6336.817482
279	6333.492925
280	6325.841547
281	6317.84417
282	6307.802476
283	6306.357568
284	6302.068588
285	6299.358871
286	6297.3073
287	6294.240527
288	6281.346287
289	6274.243988
290	6263.416164
291	6257.926394
292	6257.44758
293	6252.518353
294	6246.774508
295	6243.860453
296	6241.817797
297	6235.904793
298	6231.622554
299	6227.777538
300	6226.591179
301	6225.626179
302	6220.698426
303	6215.658675
304	6211.718348
305	6205.363125
306	6204.611522
307	6199.037308
308	6194.535231
309	6186.829867
310	6181.776497
311	6176.668447
312	6173.823804
313	6172.238384
314	6169.763375
315	6165.262354
316	6162.235304
317	6152.470168
318	6149.291667
319	6142.093814
320	6139.922783
321	6137.986866
322	6136.303768
323	6130.59641
324	6125.285888
325	6123.817379
326	6112.974064
327	6110.598159
328	6108.653234
329	6107.911925
330	6106.93981
331	6104.961922
332	6099.178867
333	6097.810607
334	6093.4326
335	6091.649815
336	6080.457141
337	6075.740815
338	6073.67142
339	6071.987086
340	6069.430862
341	6066.248438
342	6063.226788
343	6062.339491
344	6056.930579
345	6055.660423
346	6052.447921
347	6046.722054
348	6043.150036
349	6040.512433
350	6037.985077
351	6029.933958
352	6025.181605
353	6019.918553
354	6011.169488
355	6009.425823
356	6008.633597
357	6000.222975
358	5999.939812
359	5996.81391
360	5994.483862
361	5990.158773
362	5987.030481
363	5984.016643
364	5978.710592
365	5975.229205
366	5964.170932
367	5960.447912
368	5960.008529
369	5958.112664
370	5952.468443
371	5947.660241
372	5946.455178
373	5943.925129
374	5938.515509
375	5936.116821
376	5934.793214
377	5926.285758
378	5923.584748
379	5922.718871
380	5920.262848
381	5917.099007
382	5913.840658
383	5909.615986
384	5907.996268
385	5906.316185
386	5903.307014
387	5898.005925
388	5896.19154
389	5895.601513
390	5891.524366
391	5889.564373
392	5881.878699
393	5881.390989
394	5880.020042
395	5879.834486
396	5876.803902
397	5874.423983
398	5873.515403
399	5871.884481
400	5870.511876
401	5861.001681
402	5852.546497
403	5847.317297
404	5842.884619
405	5842.16595
406	5839.11705
407	5836.301434
408	5833.470854
409	5833.041973
410	5830.173944
411	5826.980473
412	5825.452835
413	5820.36231
414	5813.675863
415	5811.41847
416	5808.396917
417	5806.850541
418	5801.102118
419	5799.107871
420	5798.32224
421	5794.895828
422	5793.833818
423	5789.030826
424	5786.607891
425	5780.148785
426	5771.714879
427	5765.659603
428	5765.320547
429	5758.881588
430	5757.081695
431	5752.554956
432	5749.510361
433	5749.107842
434	5738.500497
435	5734.754331
436	5731.570654
437	5727.172423
438	5723.844868
439	5719.531571
440	5718.740345
441	5717.959159
442	5714.083509
443	5706.033787
444	5704.31112
445	5701.510359
446	5696.144278
447	5690.562474
448	5687.891123
449	5686.518718
450	5684.060646
451	5681.519661
452	5676.671418
453	5674.211619
454	5669.614036
455	5664.876616
456	5661.084877
457	5655.659161
458	5655.353724
459	5652.91035
460	5647.135353
461	5645.868326
462	5636.927643
463	5636.631814
464	5628.619173
465	5626.633673
466	5624.382318
467	5624.129317
468	5619.342563
469	5616.109498
470	5614.585852
471	5611.159217
472	5610.029208
473	5608.198921
474	5607.564425
475	5600.228175
476	5598.149114
477	5595.684722
478	5594.068767
479	5593.819421
480	5593.179609
481	5593.047407
482	5590.003699
483	5588.463703
484	5588.217317
485	5586.763147
486	5584.77057
487	5581.386829
488	5579.406651
489	5573.094791
490	5572.701832
491	5569.2388
492	5569.030349
493	5568.024322
494	5557.267667
495	5547.391388
496	5544.107884
497	5539.851727
498	5533.545405
499	5531.58603
