iter	Passed	Remaining
0	31	15629
1	60	15127
2	96	16029
3	132	16417
4	169	16735
5	203	16770
6	226	15947
7	249	15343
8	283	15474
9	319	15636
10	354	15756
11	390	15871
12	425	15951
13	462	16057
14	498	16131
15	538	16279
16	572	16273
17	609	16321
18	645	16348
19	682	16372
20	721	16447
21	755	16423
22	792	16429
23	829	16446
24	865	16448
25	901	16441
26	938	16447
27	974	16423
28	1010	16415
29	1048	16419
30	1082	16375
31	1117	16336
32	1156	16371
33	1191	16333
34	1228	16320
35	1250	16113
36	1284	16067
37	1321	16072
38	1356	16034
39	1397	16073
40	1432	16040
41	1467	16006
42	1503	15974
43	1537	15932
44	1574	15922
45	1608	15878
46	1643	15843
47	1684	15862
48	1719	15828
49	1753	15785
50	1788	15744
51	1823	15713
52	1861	15698
53	1905	15739
54	1939	15695
55	1975	15663
56	2019	15692
57	2036	15520
58	2071	15485
59	2105	15441
60	2139	15397
61	2176	15376
62	2212	15345
63	2247	15312
64	2283	15283
65	2318	15243
66	2352	15206
67	2387	15169
68	2422	15131
69	2456	15087
70	2473	14943
71	2507	14905
72	2541	14868
73	2576	14834
74	2612	14805
75	2644	14753
76	2683	14741
77	2724	14738
78	2764	14732
79	2806	14733
80	2840	14694
81	2876	14665
82	2919	14668
83	2961	14666
84	2984	14571
85	3019	14533
86	3053	14495
87	3088	14460
88	3123	14423
89	3157	14384
90	3197	14371
91	3233	14340
92	3270	14311
93	3306	14279
94	3340	14242
95	3376	14211
96	3412	14177
97	3457	14184
98	3495	14158
99	3530	14123
100	3568	14098
101	3606	14073
102	3643	14043
103	3680	14014
104	3716	13982
105	3751	13944
106	3786	13907
107	3821	13870
108	3857	13836
109	3892	13800
110	3927	13764
111	3965	13736
112	3998	13694
113	4032	13654
114	4078	13654
115	4115	13624
116	4125	13506
117	4158	13463
118	4195	13431
119	4229	13393
120	4267	13367
121	4303	13332
122	4337	13293
123	4374	13263
124	4414	13243
125	4448	13204
126	4469	13127
127	4497	13069
128	4529	13027
129	4565	12994
130	4587	12923
131	4620	12882
132	4658	12855
133	4695	12823
134	4730	12789
135	4765	12754
136	4801	12723
137	4838	12693
138	4875	12661
139	4910	12628
140	4947	12596
141	4984	12566
142	5020	12532
143	5057	12503
144	5092	12467
145	5128	12434
146	5163	12399
147	5181	12323
148	5215	12286
149	5254	12259
150	5289	12224
151	5323	12188
152	5369	12177
153	5403	12139
154	5441	12111
155	5478	12079
156	5519	12058
157	5555	12026
158	5593	11996
159	5631	11966
160	5669	11936
161	5707	11909
162	5744	11877
163	5781	11845
164	5819	11814
165	5857	11785
166	5895	11756
167	5931	11721
168	5968	11689
169	6008	11664
170	6045	11630
171	6081	11596
172	6118	11564
173	6155	11532
174	6194	11503
175	6230	11469
176	6268	11438
177	6305	11406
178	6341	11372
179	6385	11352
180	6427	11327
181	6465	11296
182	6502	11264
183	6515	11189
184	6550	11152
185	6589	11123
186	6627	11093
187	6638	11017
188	6672	10979
189	6709	10947
190	6748	10918
191	6786	10886
192	6825	10856
193	6865	10829
194	6902	10796
195	6940	10764
196	6954	10697
197	6990	10662
198	7025	10626
199	7066	10599
200	7102	10565
201	7138	10531
202	7176	10499
203	7212	10465
204	7252	10436
205	7289	10404
206	7327	10372
207	7366	10341
208	7404	10309
209	7443	10278
210	7478	10243
211	7515	10210
212	7563	10190
213	7601	10159
214	7639	10127
215	7676	10093
216	7715	10062
217	7755	10032
218	7793	10000
219	7831	9967
220	7870	9936
221	7908	9903
222	7946	9870
223	7985	9838
224	8025	9809
225	8064	9777
226	8102	9744
227	8140	9711
228	8177	9676
229	8213	9641
230	8251	9608
231	8287	9573
232	8325	9540
233	8365	9509
234	8403	9476
235	8440	9441
236	8477	9407
237	8515	9374
238	8554	9342
239	8594	9310
240	8634	9278
241	8673	9246
242	8713	9215
243	8750	9181
244	8790	9149
245	8829	9116
246	8866	9082
247	8907	9051
248	8947	9019
249	8986	8986
250	9023	8951
251	9066	8922
252	9106	8890
253	9144	8856
254	9182	8822
255	9219	8787
256	9258	8753
257	9297	8720
258	9334	8685
259	9371	8650
260	9411	8618
261	9451	8585
262	9484	8546
263	9525	8514
264	9564	8481
265	9603	8448
266	9645	8416
267	9685	8384
268	9725	8352
269	9767	8320
270	9807	8287
271	9848	8255
272	9886	8220
273	9924	8186
274	9963	8152
275	10002	8118
276	10043	8085
277	10083	8052
278	10121	8017
279	10160	7983
280	10199	7948
281	10238	7914
282	10277	7880
283	10317	7847
284	10355	7812
285	10391	7775
286	10433	7743
287	10472	7708
288	10510	7674
289	10550	7639
290	10589	7605
291	10627	7570
292	10665	7535
293	10702	7498
294	10739	7462
295	10783	7431
296	10820	7395
297	10856	7359
298	10899	7327
299	10939	7292
300	10977	7257
301	11016	7222
302	11053	7186
303	11092	7151
304	11131	7116
305	11170	7081
306	11208	7046
307	11246	7011
308	11285	6975
309	11324	6940
310	11369	6909
311	11407	6873
312	11445	6838
313	11483	6802
314	11522	6767
315	11562	6732
316	11599	6696
317	11641	6662
318	11679	6626
319	11717	6591
320	11758	6556
321	11797	6521
322	11838	6487
323	11878	6452
324	11917	6416
325	11958	6382
326	11997	6347
327	12036	6311
328	12076	6276
329	12112	6239
330	12153	6205
331	12191	6169
332	12228	6132
333	12265	6095
334	12306	6061
335	12345	6026
336	12386	5991
337	12428	5956
338	12468	5921
339	12506	5885
340	12544	5849
341	12585	5814
342	12627	5779
343	12667	5744
344	12716	5713
345	12756	5677
346	12795	5641
347	12834	5605
348	12873	5569
349	12912	5533
350	12950	5497
351	12997	5464
352	13036	5428
353	13075	5392
354	13114	5356
355	13153	5320
356	13192	5284
357	13233	5248
358	13271	5212
359	13307	5174
360	13347	5139
361	13386	5103
362	13425	5067
363	13466	5031
364	13504	4994
365	13543	4958
366	13583	4922
367	13624	4887
368	13664	4851
369	13704	4814
370	13744	4779
371	13784	4742
372	13822	4706
373	13863	4670
374	13901	4633
375	13946	4599
376	13986	4563
377	14025	4526
378	14064	4490
379	14104	4454
380	14146	4418
381	14185	4382
382	14224	4345
383	14264	4308
384	14304	4272
385	14343	4236
386	14383	4199
387	14424	4163
388	14463	4127
389	14503	4090
390	14543	4054
391	14585	4018
392	14625	3981
393	14664	3945
394	14705	3908
395	14744	3872
396	14781	3835
397	14819	3798
398	14864	3762
399	14903	3725
400	14943	3689
401	14982	3652
402	15022	3615
403	15059	3578
404	15101	3542
405	15142	3506
406	15182	3469
407	15222	3432
408	15262	3395
409	15301	3358
410	15342	3322
411	15382	3285
412	15422	3248
413	15466	3212
414	15504	3175
415	15542	3138
416	15583	3101
417	15620	3064
418	15662	3027
419	15702	2991
420	15743	2954
421	15783	2917
422	15823	2880
423	15861	2843
424	15901	2806
425	15940	2768
426	15981	2732
427	16021	2695
428	16060	2658
429	16102	2621
430	16142	2584
431	16183	2547
432	16223	2510
433	16263	2473
434	16304	2436
435	16344	2399
436	16384	2362
437	16425	2325
438	16464	2287
439	16503	2250
440	16541	2213
441	16584	2176
442	16628	2139
443	16670	2102
444	16710	2065
445	16751	2028
446	16792	1991
447	16835	1954
448	16874	1916
449	16916	1879
450	16957	1842
451	16997	1805
452	17038	1767
453	17080	1730
454	17124	1693
455	17167	1656
456	17209	1619
457	17253	1582
458	17295	1544
459	17336	1507
460	17390	1471
461	17431	1433
462	17476	1396
463	17517	1359
464	17559	1321
465	17601	1284
466	17643	1246
467	17684	1209
468	17726	1171
469	17764	1133
470	17805	1096
471	17850	1058
472	17890	1021
473	17931	983
474	17973	945
475	18015	908
476	18057	870
477	18099	833
478	18140	795
479	18182	757
480	18224	719
481	18263	682
482	18307	644
483	18349	606
484	18390	568
485	18434	531
486	18476	493
487	18518	455
488	18557	417
489	18602	379
490	18646	341
491	18687	303
492	18729	265
493	18772	228
494	18814	190
495	18857	152
496	18899	114
497	18940	76
498	18984	38
499	19026	0
