iter	RMSE
0	8.903441649
1	8.890760258
2	8.88190344
3	8.874398111
4	8.864836542
5	8.855659519
6	8.849040222
7	8.838884618
8	8.834575765
9	8.826134708
10	8.813660231
11	8.804306062
12	8.79726347
13	8.789997517
14	8.784767199
15	8.776704944
16	8.771354351
17	8.761208721
18	8.75187456
19	8.750460057
20	8.740929007
21	8.733136269
22	8.729060778
23	8.721976119
24	8.720645217
25	8.716736165
26	8.709815049
27	8.704241855
28	8.695713402
29	8.687335791
30	8.677751946
31	8.671271408
32	8.664592145
33	8.660544494
34	8.655928939
35	8.651080092
36	8.646088011
37	8.643649775
38	8.639212366
39	8.634950064
40	8.62647789
41	8.622938844
42	8.615655727
43	8.609465177
44	8.602689641
45	8.598100928
46	8.594988073
47	8.592926511
48	8.589771065
49	8.584701535
50	8.580822656
51	8.576526992
52	8.574578982
53	8.572217361
54	8.564874139
55	8.561659751
56	8.561648775
57	8.557593128
58	8.550077213
59	8.546628717
60	8.541674573
61	8.538402786
62	8.53238248
63	8.524711672
64	8.521125149
65	8.518180724
66	8.51486489
67	8.512626632
68	8.510310394
69	8.509743491
70	8.506644371
71	8.502658454
72	8.50121924
73	8.495831358
74	8.492304328
75	8.489859167
76	8.485561194
77	8.481373554
78	8.478314757
79	8.474800035
80	8.471580087
81	8.468476671
82	8.466192228
83	8.464287248
84	8.461947196
85	8.457539043
86	8.455359184
87	8.454338042
88	8.451750165
89	8.449025556
90	8.446583943
91	8.438253901
92	8.434886033
93	8.431874978
94	8.430296983
95	8.424677026
96	8.421953334
97	8.420326788
98	8.419112009
99	8.417234371
100	8.414964828
101	8.412495757
102	8.408710682
103	8.402537881
104	8.40130009
105	8.398236808
106	8.398193881
107	8.394461543
108	8.392292783
109	8.388951282
110	8.386667372
111	8.381828466
112	8.37754834
113	8.375797716
114	8.372931673
115	8.366346179
116	8.358369281
117	8.355944579
118	8.353382517
119	8.349390904
120	8.347159803
121	8.347038748
122	8.345498491
123	8.341119165
124	8.336660555
125	8.330231188
126	8.32821748
127	8.324784279
128	8.322282978
129	8.320382709
130	8.316132813
131	8.312691539
132	8.310324832
133	8.308535179
134	8.30561769
135	8.302372663
136	8.298488985
137	8.298296941
138	8.295561936
139	8.293985251
140	8.292589579
141	8.290405924
142	8.288848181
143	8.286084405
144	8.281516676
145	8.276989918
146	8.273371502
147	8.268791883
148	8.26285587
149	8.25935036
150	8.254809322
151	8.251832231
152	8.250480377
153	8.24546637
154	8.243826955
155	8.241525885
156	8.237055506
157	8.235342773
158	8.229622863
159	8.226246502
160	8.222162853
161	8.219403074
162	8.21687042
163	8.212493335
164	8.209968747
165	8.206249372
166	8.200901573
167	8.198207745
168	8.195610515
169	8.193045554
170	8.190786073
171	8.189098061
172	8.185841154
173	8.178167485
174	8.171901407
175	8.166055519
176	8.162366719
177	8.1590502
178	8.156493851
179	8.15039239
180	8.143967536
181	8.138422088
182	8.137188206
183	8.133623764
184	8.132755687
185	8.13143089
186	8.129492343
187	8.127374541
188	8.126303018
189	8.121670579
190	8.118029357
191	8.115330639
192	8.112007962
193	8.10974809
194	8.102521449
195	8.100458742
196	8.099518211
197	8.097567361
198	8.095252851
199	8.088708263
200	8.085361199
201	8.077162246
202	8.070102119
203	8.068969228
204	8.067040185
205	8.066316193
206	8.064631999
207	8.061438483
208	8.059492482
209	8.05672793
210	8.055258582
211	8.053064317
212	8.051407153
213	8.047334859
214	8.045756446
215	8.044828832
216	8.039251914
217	8.033163275
218	8.030854627
219	8.027659871
220	8.024886588
221	8.023372694
222	8.018958642
223	8.01680737
224	8.011581318
225	8.009764531
226	8.005188262
227	8.001825774
228	7.995950245
229	7.994545684
230	7.988843774
231	7.986788065
232	7.985940845
233	7.982814373
234	7.981085146
235	7.977916826
236	7.97641139
237	7.969865187
238	7.968075433
239	7.966911415
240	7.965543011
241	7.96419725
242	7.961852075
243	7.959757214
244	7.958239067
245	7.951899682
246	7.949028861
247	7.944937062
248	7.939219483
249	7.93146763
250	7.922707322
251	7.917973276
252	7.916598731
253	7.913166928
254	7.907303472
255	7.90646995
256	7.905086814
257	7.897738479
258	7.896173023
259	7.894703853
260	7.892131356
261	7.887634425
262	7.88464187
263	7.882799153
264	7.879542813
265	7.87678084
266	7.875695649
267	7.872004349
268	7.868773904
269	7.86609392
270	7.863297665
271	7.860030938
272	7.858539113
273	7.856140507
274	7.853323473
275	7.849669539
276	7.846910353
277	7.842598433
278	7.839709292
279	7.837759106
280	7.835757691
281	7.833710297
282	7.832636
283	7.829020382
284	7.825159796
285	7.819872898
286	7.81621604
287	7.813261361
288	7.810045716
289	7.806731943
290	7.806033915
291	7.804436786
292	7.801104993
293	7.800565154
294	7.79934397
295	7.798488953
296	7.794594828
297	7.79276164
298	7.789730885
299	7.788953269
300	7.788260185
301	7.786560453
302	7.785938102
303	7.781647287
304	7.780299885
305	7.777763373
306	7.776520969
307	7.772987347
308	7.771912421
309	7.769927736
310	7.762137567
311	7.76025699
312	7.757540775
313	7.75452532
314	7.750933158
315	7.74963067
316	7.747782797
317	7.746213222
318	7.743727978
319	7.73766381
320	7.733566775
321	7.729314816
322	7.722820666
323	7.720289589
324	7.71594913
325	7.71144599
326	7.710393454
327	7.708741025
328	7.706443804
329	7.704550024
330	7.698396687
331	7.697657306
332	7.693809254
333	7.69098741
334	7.687061619
335	7.684195322
336	7.681699017
337	7.675668132
338	7.673809884
339	7.667934734
340	7.665063026
341	7.661351491
342	7.659317688
343	7.656146858
344	7.654330446
345	7.652035809
346	7.649968364
347	7.647386553
348	7.643861827
349	7.643282166
350	7.638415696
351	7.635717798
352	7.630219384
353	7.627849869
354	7.624522043
355	7.623828903
356	7.620869479
357	7.618030163
358	7.614162686
359	7.611598346
360	7.608971492
361	7.601824666
362	7.60044453
363	7.598941671
364	7.594560345
365	7.591418971
366	7.588956618
367	7.58775192
368	7.585297307
369	7.583526505
370	7.58095832
371	7.578378152
372	7.576691007
373	7.57600655
374	7.573427282
375	7.570742481
376	7.569694081
377	7.567360896
378	7.563248685
379	7.562508554
380	7.559935937
381	7.55826788
382	7.553869436
383	7.550740152
384	7.55017961
385	7.548624635
386	7.546032408
387	7.542569879
388	7.53918722
389	7.538013609
390	7.536073281
391	7.53279696
392	7.529296583
393	7.526671989
394	7.526235366
395	7.523708811
396	7.522064993
397	7.52107403
398	7.519908091
399	7.518247482
400	7.514938569
401	7.511122182
402	7.510460073
403	7.508531523
404	7.506549629
405	7.502584868
406	7.499047263
407	7.495667228
408	7.493137739
409	7.491383175
410	7.488719144
411	7.486527254
412	7.485329743
413	7.482606736
414	7.481024317
415	7.475597197
416	7.473665584
417	7.471658406
418	7.469910042
419	7.467256517
420	7.46439318
421	7.462585407
422	7.462356861
423	7.458992454
424	7.45415371
425	7.453448043
426	7.452991623
427	7.451517971
428	7.44883904
429	7.446897906
430	7.444066314
431	7.440578217
432	7.439332399
433	7.435080881
434	7.428564228
435	7.427054924
436	7.424587031
437	7.423235462
438	7.418599492
439	7.415541279
440	7.414262662
441	7.411139595
442	7.409716464
443	7.408668338
444	7.406131782
445	7.403083007
446	7.398452106
447	7.395242059
448	7.392233689
449	7.389728883
450	7.38609514
451	7.383733117
452	7.382471576
453	7.382171285
454	7.379657671
455	7.376727866
456	7.37449305
457	7.372470503
458	7.371772667
459	7.366955214
460	7.364609114
461	7.360447761
462	7.359503115
463	7.357053509
464	7.356962722
465	7.356552197
466	7.351772498
467	7.347625558
468	7.342890361
469	7.340992802
470	7.339717162
471	7.335674021
472	7.335608116
473	7.335565501
474	7.331383237
475	7.330674412
476	7.330270408
477	7.328363467
478	7.325875805
479	7.323837561
480	7.323066934
481	7.321518336
482	7.318325685
483	7.315594873
484	7.314818136
485	7.311798308
486	7.311085148
487	7.30897113
488	7.305942121
489	7.305006668
490	7.303086391
491	7.300636557
492	7.298546186
493	7.296138711
494	7.295310436
495	7.291265844
496	7.287666168
497	7.284891085
498	7.283878029
499	7.281388393
500	7.278303428
501	7.276245713
502	7.275506623
503	7.274419132
504	7.273092172
505	7.270625864
506	7.267961462
507	7.26505194
508	7.264475487
509	7.263579774
510	7.26095021
511	7.259799626
512	7.256641345
513	7.253864355
514	7.252002193
515	7.25193174
516	7.249832567
517	7.248674465
518	7.246414082
519	7.244146773
520	7.242295119
521	7.242108261
522	7.240029354
523	7.236354429
524	7.233952671
525	7.231264917
526	7.22885077
527	7.226195145
528	7.217401504
529	7.21648222
530	7.214474655
531	7.211926577
532	7.207728641
533	7.206038614
534	7.203834287
535	7.200877302
536	7.199959409
537	7.199416318
538	7.198180327
539	7.194240144
540	7.193324485
541	7.193294979
542	7.19303959
543	7.189936085
544	7.189007132
545	7.184550629
546	7.183778592
547	7.181314549
548	7.179751392
549	7.179042339
550	7.177490301
551	7.175272693
552	7.172610047
553	7.169748825
554	7.167413632
555	7.1650287
556	7.164386919
557	7.162532648
558	7.161352622
559	7.160279488
560	7.159111542
561	7.156014392
562	7.154134466
563	7.152284035
564	7.15021071
565	7.149017268
566	7.148522
567	7.139928108
568	7.138186614
569	7.137978377
570	7.135527349
571	7.134666487
572	7.132119734
573	7.130795657
574	7.12829519
575	7.124003677
576	7.123355786
577	7.120833689
578	7.118233924
579	7.113837524
580	7.112431174
581	7.106868955
582	7.105689375
583	7.104654406
584	7.101336814
585	7.098257971
586	7.097079673
587	7.092852724
588	7.090369312
589	7.087145529
590	7.08455192
591	7.08241438
592	7.079236305
593	7.076689371
594	7.074460236
595	7.072963347
596	7.071517327
597	7.068990803
598	7.06688612
599	7.065333979
600	7.062983294
601	7.060939496
602	7.058858212
603	7.057384663
604	7.054342363
605	7.052801902
606	7.051154809
607	7.049200832
608	7.046284506
609	7.044701957
610	7.044362893
611	7.041620703
612	7.03943099
613	7.037375215
614	7.034996994
615	7.031845661
616	7.027803404
617	7.025392008
618	7.024061836
619	7.022962921
620	7.021394628
621	7.016686101
622	7.014778475
623	7.010871871
624	7.009477167
625	7.005514005
626	7.003526693
627	7.001101691
628	6.998168457
629	6.99583102
630	6.994032559
631	6.992866161
632	6.990204331
633	6.988416326
634	6.984174688
635	6.98157958
636	6.978223526
637	6.973904006
638	6.972263552
639	6.969884728
640	6.967325169
641	6.965045907
642	6.962872427
643	6.95789302
644	6.954777306
645	6.952073909
646	6.949908419
647	6.948220251
648	6.945339925
649	6.943407106
650	6.942928495
651	6.94199523
652	6.939915176
653	6.937025049
654	6.93482891
655	6.933429929
656	6.931736786
657	6.930151696
658	6.927910061
659	6.925869687
660	6.924889785
661	6.922043059
662	6.921772045
663	6.919552537
664	6.916652122
665	6.914960184
666	6.91045559
667	6.908222596
668	6.906539104
669	6.905390276
670	6.903866202
671	6.902962512
672	6.901090915
673	6.89916523
674	6.897048621
675	6.895543684
676	6.894027387
677	6.891150519
678	6.888085195
679	6.885075019
680	6.882057888
681	6.87805902
682	6.876050925
683	6.874008596
684	6.873092913
685	6.872046173
686	6.870784571
687	6.866476089
688	6.863417436
689	6.863323771
690	6.861665041
691	6.861442171
692	6.859585075
693	6.856999431
694	6.853243934
695	6.85233486
696	6.851579417
697	6.848824473
698	6.846931473
699	6.845560913
700	6.843994647
701	6.842279946
702	6.840818661
703	6.839529275
704	6.832247727
705	6.8307516
706	6.830063733
707	6.827481591
708	6.826090098
709	6.824535147
710	6.822730395
711	6.821267141
712	6.819570938
713	6.818557643
714	6.816207319
715	6.814682246
716	6.812068078
717	6.810096563
718	6.810045219
719	6.80936812
720	6.806535734
721	6.802968546
722	6.80190047
723	6.800170894
724	6.797867445
725	6.796913967
726	6.793203252
727	6.791594859
728	6.790938183
729	6.789497817
730	6.786337114
731	6.785032604
732	6.784241603
733	6.78205723
734	6.778914672
735	6.776245171
736	6.774258141
737	6.773870422
738	6.769614775
739	6.769572721
740	6.76670503
741	6.763055754
742	6.761559965
743	6.759324953
744	6.756322373
745	6.754988108
746	6.751825837
747	6.749268429
748	6.747578583
749	6.744626649
750	6.742964563
751	6.738780149
752	6.736721707
753	6.734502265
754	6.732394916
755	6.729833527
756	6.728619839
757	6.726465054
758	6.72463877
759	6.723915228
760	6.721014474
761	6.71845344
762	6.716094585
763	6.715880621
764	6.715770142
765	6.712984651
766	6.70926371
767	6.70689865
768	6.704879802
769	6.702004763
770	6.700847016
771	6.698940281
772	6.696906386
773	6.694348214
774	6.694181888
775	6.692880536
776	6.692290882
777	6.690999712
778	6.687878853
779	6.687182712
780	6.685739099
781	6.683687416
782	6.683569545
783	6.682242616
784	6.682076364
785	6.680859269
786	6.677844699
787	6.67694899
788	6.676760624
789	6.676405586
790	6.675318127
791	6.673046926
792	6.670242209
793	6.669440258
794	6.667733263
795	6.665497323
796	6.664083993
797	6.660460856
798	6.659049091
799	6.657609682
800	6.656242207
801	6.653965346
802	6.650209821
803	6.649925653
804	6.649820458
805	6.648066849
806	6.645957653
807	6.644651575
808	6.644554546
809	6.642052981
810	6.639467337
811	6.637864393
812	6.634368039
813	6.633412978
814	6.632976654
815	6.632208401
816	6.629622207
817	6.627651565
818	6.625558912
819	6.624494649
820	6.623149349
821	6.621249702
822	6.617713491
823	6.616875717
824	6.61581812
825	6.614445065
826	6.613953269
827	6.612231454
828	6.610830138
829	6.608321993
830	6.607663071
831	6.6039782
832	6.601916665
833	6.600172762
834	6.597240009
835	6.593532087
836	6.590606319
837	6.588715354
838	6.58792656
839	6.587276003
840	6.58445075
841	6.583841801
842	6.582119674
843	6.581994868
844	6.581325588
845	6.57958358
846	6.579023669
847	6.578617
848	6.577190182
849	6.575348961
850	6.575300078
851	6.572499269
852	6.571447407
853	6.571043144
854	6.568282703
855	6.567095193
856	6.566125175
857	6.565263481
858	6.561821286
859	6.559749621
860	6.557346106
861	6.55538261
862	6.553216492
863	6.552663938
864	6.551666783
865	6.55077425
866	6.54760703
867	6.547535004
868	6.546752895
869	6.545825771
870	6.542667014
871	6.541434495
872	6.540732663
873	6.540089749
874	6.537498969
875	6.536223162
876	6.533036121
877	6.528496556
878	6.526388928
879	6.525614103
880	6.522148762
881	6.521343266
882	6.521309753
883	6.515036758
884	6.514192259
885	6.51304127
886	6.511126745
887	6.509646339
888	6.508398731
889	6.507849519
890	6.506278847
891	6.503999464
892	6.50278287
893	6.50175574
894	6.50093324
895	6.499031424
896	6.497191354
897	6.496967294
898	6.495235737
899	6.492794754
900	6.492659903
901	6.491499422
902	6.489519209
903	6.488647035
904	6.487797505
905	6.486540219
906	6.484791
907	6.484695192
908	6.481305282
909	6.478568175
910	6.476007339
911	6.474279647
912	6.473880923
913	6.469964877
914	6.467016352
915	6.463290507
916	6.462048664
917	6.460089867
918	6.459847818
919	6.459176083
920	6.456308865
921	6.455021977
922	6.453970124
923	6.45145463
924	6.451002513
925	6.448035842
926	6.447110383
927	6.44612026
928	6.445494072
929	6.445177246
930	6.443869236
931	6.443713626
932	6.440749642
933	6.439368922
934	6.43745239
935	6.436202603
936	6.435430093
937	6.434356099
938	6.431851369
939	6.429258792
940	6.427064917
941	6.423601689
942	6.422769634
943	6.422688299
944	6.421395961
945	6.420017214
946	6.418530705
947	6.417860604
948	6.415844307
949	6.412870308
950	6.411423177
951	6.411410074
952	6.411148419
953	6.408919337
954	6.407650684
955	6.407610424
956	6.405709422
957	6.404015675
958	6.402575612
959	6.402063602
960	6.400676196
961	6.397858657
962	6.3962571
963	6.394512142
964	6.391982097
965	6.391196687
966	6.387462748
967	6.385117302
968	6.382018489
969	6.379819426
970	6.37884663
971	6.378443463
972	6.37486849
973	6.371448476
974	6.370926447
975	6.369522972
976	6.367860551
977	6.364304878
978	6.361551119
979	6.358435102
980	6.356815086
981	6.356014909
982	6.354378289
983	6.354251803
984	6.350221592
985	6.347952904
986	6.345668604
987	6.343033106
988	6.340746527
989	6.3354947
990	6.334731213
991	6.333358593
992	6.332607789
993	6.330053543
994	6.328463644
995	6.328091113
996	6.324947226
997	6.322219547
998	6.32010922
999	6.317086757
1000	6.31557274
1001	6.311675109
1002	6.310720211
1003	6.308579762
1004	6.307169664
1005	6.307066008
1006	6.30482133
1007	6.301263189
1008	6.300459994
1009	6.300236747
1010	6.299570572
1011	6.297266864
1012	6.295973751
1013	6.293894483
1014	6.291021796
1015	6.287940727
1016	6.286783092
1017	6.285788775
1018	6.282823922
1019	6.278507836
1020	6.277585373
1021	6.274580656
1022	6.271501998
1023	6.268431018
1024	6.265668911
1025	6.265614069
1026	6.265257907
1027	6.260857053
1028	6.260044758
1029	6.257938157
1030	6.254539578
1031	6.25284288
1032	6.252169008
1033	6.249315106
1034	6.248590937
1035	6.244767056
1036	6.244460478
1037	6.241978413
1038	6.239672141
1039	6.237779254
1040	6.235763616
1041	6.232623434
1042	6.231067628
1043	6.228683109
1044	6.225748654
1045	6.223909049
1046	6.220947045
1047	6.21772513
1048	6.21670623
1049	6.215521225
1050	6.214101476
1051	6.212680871
1052	6.211370165
1053	6.210619687
1054	6.208972499
1055	6.208269458
1056	6.20634578
1057	6.204899644
1058	6.203333652
1059	6.202337477
1060	6.201445144
1061	6.200261417
1062	6.197236184
1063	6.194356115
1064	6.192736924
1065	6.190701892
1066	6.190599156
1067	6.18983016
1068	6.18825601
1069	6.187378007
1070	6.186359504
1071	6.185340961
1072	6.185161703
1073	6.183696616
1074	6.183069373
1075	6.180740832
1076	6.180308057
1077	6.178116786
1078	6.177280149
1079	6.173557448
1080	6.17106939
1081	6.168706022
1082	6.165554688
1083	6.164347609
1084	6.163060939
1085	6.161420773
1086	6.16113141
1087	6.160267585
1088	6.158187993
1089	6.157392378
1090	6.154219703
1091	6.152607281
1092	6.150892562
1093	6.14956266
1094	6.147075293
1095	6.146286674
1096	6.145575045
1097	6.144054537
1098	6.141883327
1099	6.140791214
1100	6.13975405
1101	6.137385382
1102	6.134874384
1103	6.134076419
1104	6.13319901
1105	6.131159296
1106	6.128320834
1107	6.127542032
1108	6.126041004
1109	6.122788305
1110	6.12193239
1111	6.121553137
1112	6.121056174
1113	6.11822367
1114	6.115430987
1115	6.114133421
1116	6.112225892
1117	6.110503625
1118	6.108073843
1119	6.107196164
1120	6.105692093
1121	6.104133819
1122	6.100782652
1123	6.099962262
1124	6.09888305
1125	6.09756976
1126	6.093136704
1127	6.092815511
1128	6.088926611
1129	6.086155066
1130	6.085070847
1131	6.082252034
1132	6.082162126
1133	6.079491727
1134	6.078101828
1135	6.076504562
1136	6.075128968
1137	6.072042238
1138	6.071850686
1139	6.070019019
1140	6.068359557
1141	6.066711431
1142	6.065395905
1143	6.062911324
1144	6.060041753
1145	6.058321501
1146	6.05762484
1147	6.05677148
1148	6.05660092
1149	6.053704749
1150	6.052484762
1151	6.051642308
1152	6.048640926
1153	6.046603412
1154	6.043847653
1155	6.042935941
1156	6.04203417
1157	6.041783575
1158	6.040631993
1159	6.040155284
1160	6.036767485
1161	6.03624252
1162	6.035280625
1163	6.034005694
1164	6.033470749
1165	6.032450889
1166	6.030341729
1167	6.028338578
1168	6.02788031
1169	6.026411122
1170	6.025635264
1171	6.023470462
1172	6.022486413
1173	6.02148295
1174	6.020987191
1175	6.019654
1176	6.018937365
1177	6.017310127
1178	6.015466096
1179	6.015408735
1180	6.014452424
1181	6.012410704
1182	6.011235901
1183	6.010356317
1184	6.008550273
1185	6.008361292
1186	6.007005977
1187	6.005839679
1188	6.004254901
1189	6.003679951
1190	6.002441783
1191	6.001992978
1192	6.00088055
1193	5.999738297
1194	5.998201009
1195	5.997760073
1196	5.996543084
1197	5.99566818
1198	5.995122233
1199	5.994280768
1200	5.993021906
1201	5.991266752
1202	5.989202431
1203	5.988564751
1204	5.988444745
1205	5.988059865
1206	5.98610859
1207	5.984677455
1208	5.983427509
1209	5.9801744
1210	5.977421598
1211	5.976169022
1212	5.973841092
1213	5.972098893
1214	5.97202972
1215	5.971023268
1216	5.969244084
1217	5.968736383
1218	5.968218459
1219	5.965138694
1220	5.96414365
1221	5.962792264
1222	5.962211666
1223	5.962196565
1224	5.961941662
1225	5.959406736
1226	5.95816068
1227	5.95725776
1228	5.957180253
1229	5.9553834
1230	5.953966707
1231	5.951472606
1232	5.95014413
1233	5.947970944
1234	5.944935876
1235	5.94283639
1236	5.941813694
1237	5.94176832
1238	5.941280683
1239	5.938983371
1240	5.935736312
1241	5.932347037
1242	5.931950318
1243	5.928374481
1244	5.92757014
1245	5.924804343
1246	5.924222504
1247	5.923047655
1248	5.91958564
1249	5.916848494
1250	5.914232606
1251	5.912294004
1252	5.909601582
1253	5.908155224
1254	5.906284633
1255	5.902968917
1256	5.901178276
1257	5.897424277
1258	5.895198116
1259	5.892193896
1260	5.891137597
1261	5.890858492
1262	5.890655408
1263	5.887212718
1264	5.885307832
1265	5.881491851
1266	5.879503788
1267	5.87752631
1268	5.874049673
1269	5.873500921
1270	5.871869881
1271	5.869381399
1272	5.866942228
1273	5.866716397
1274	5.865787141
1275	5.86298954
1276	5.858056425
1277	5.855070039
1278	5.852266128
1279	5.850638383
1280	5.849305249
1281	5.848320194
1282	5.846934893
1283	5.845807109
1284	5.844681638
1285	5.842316164
1286	5.840270911
1287	5.836846343
1288	5.835994908
1289	5.833814297
1290	5.83378442
1291	5.831117101
1292	5.829930244
1293	5.827590412
1294	5.827562858
1295	5.827114281
1296	5.825837715
1297	5.823779818
1298	5.823679146
1299	5.822524864
1300	5.820277276
1301	5.819288232
1302	5.818576014
1303	5.817710894
1304	5.816638269
1305	5.814935003
1306	5.813138534
1307	5.811737386
1308	5.810893283
1309	5.806846156
1310	5.805451871
1311	5.805064006
1312	5.804691608
1313	5.804367111
1314	5.799881909
1315	5.798717206
1316	5.798212727
1317	5.797594255
1318	5.796010507
1319	5.794438407
1320	5.793068851
1321	5.791581663
1322	5.791203904
1323	5.788909014
1324	5.788134427
1325	5.787303217
1326	5.786386227
1327	5.784717629
1328	5.78399029
1329	5.781795116
1330	5.780430233
1331	5.779647564
1332	5.77819967
1333	5.77307157
1334	5.772094926
1335	5.769728558
1336	5.769126986
1337	5.76744327
1338	5.766180047
1339	5.764471374
1340	5.762387774
1341	5.761010525
1342	5.760094117
1343	5.758184086
1344	5.756462784
1345	5.755556907
1346	5.753904817
1347	5.753396097
1348	5.752461296
1349	5.752450949
1350	5.750313467
1351	5.750200412
1352	5.749200053
1353	5.747928826
1354	5.746773829
1355	5.745164723
1356	5.742669051
1357	5.741375066
1358	5.740473938
1359	5.739845918
1360	5.738742593
1361	5.737738173
1362	5.735358893
1363	5.731619311
1364	5.729038722
1365	5.728138345
1366	5.727051135
1367	5.72608429
1368	5.723734673
1369	5.722824367
1370	5.722032067
1371	5.721220065
1372	5.720405828
1373	5.719101031
1374	5.718026933
1375	5.717465019
1376	5.71628545
1377	5.7145063
1378	5.71446552
1379	5.714152716
1380	5.712499532
1381	5.711299249
1382	5.708683895
1383	5.706012236
1384	5.704734031
1385	5.703943418
1386	5.703020738
1387	5.702918745
1388	5.701154651
1389	5.700261881
1390	5.699309693
1391	5.698641157
1392	5.697475473
1393	5.695825939
1394	5.695071212
1395	5.694578458
1396	5.69208808
1397	5.691728572
1398	5.691414914
1399	5.690958277
1400	5.690417714
1401	5.689530381
1402	5.686303921
1403	5.685716986
1404	5.683321317
1405	5.683006517
1406	5.67961992
1407	5.678369
1408	5.67735756
1409	5.677309492
1410	5.675462947
1411	5.672457246
1412	5.670738736
1413	5.670390489
1414	5.668933418
1415	5.666975608
1416	5.664093528
1417	5.661858395
1418	5.660117046
1419	5.658211432
1420	5.656686886
1421	5.655511785
1422	5.654935872
1423	5.6534687
1424	5.652429996
1425	5.650981256
1426	5.64995456
1427	5.648699633
1428	5.646560799
1429	5.646503749
1430	5.645261322
1431	5.642982733
1432	5.641764018
1433	5.641010362
1434	5.638963446
1435	5.637281615
1436	5.636076486
1437	5.635798619
1438	5.63422012
1439	5.632471731
1440	5.630313353
1441	5.629192134
1442	5.627887969
1443	5.62751445
1444	5.627105474
1445	5.626062994
1446	5.623699161
1447	5.622998446
1448	5.622855231
1449	5.621411447
1450	5.619882717
1451	5.616677349
1452	5.614258671
1453	5.61356279
1454	5.611702703
1455	5.611153408
1456	5.609210273
1457	5.608346893
1458	5.607807506
1459	5.606511951
1460	5.603984378
1461	5.603437048
1462	5.601929884
1463	5.600300495
1464	5.599093395
1465	5.59781998
1466	5.597260049
1467	5.594473077
1468	5.593851474
1469	5.592170193
1470	5.591494749
1471	5.590302846
1472	5.589178744
1473	5.587471602
1474	5.583659597
1475	5.581479484
1476	5.58047651
1477	5.580320479
1478	5.579737938
1479	5.57836329
1480	5.576964004
1481	5.575530519
1482	5.57528289
1483	5.574280438
1484	5.57358657
1485	5.571315182
1486	5.570841826
1487	5.569474542
1488	5.567248584
1489	5.564423802
1490	5.562916214
1491	5.561776179
1492	5.559254833
1493	5.557256258
1494	5.557040062
1495	5.555131354
1496	5.554687765
1497	5.552960693
1498	5.552244106
1499	5.550637646
1500	5.549185754
1501	5.546719006
1502	5.544468784
1503	5.543176424
1504	5.541205609
1505	5.539331125
1506	5.539187346
1507	5.537687779
1508	5.536868655
1509	5.536750755
1510	5.534763071
1511	5.533229271
1512	5.532662597
1513	5.531877964
1514	5.531269782
1515	5.5291087
1516	5.528881492
