iter	Passed	Remaining
0	9	18072
1	24	24256
2	62	41509
3	106	53174
4	151	60468
5	195	64966
6	239	68175
7	283	70678
8	297	65831
9	336	66931
10	376	68142
11	416	69059
12	433	66202
13	470	66730
14	511	67675
15	551	68435
16	592	69095
17	632	69624
18	679	70873
19	721	71460
20	762	71865
21	779	70116
22	818	70357
23	860	70825
24	901	71241
25	918	69749
26	958	70057
27	998	70320
28	1038	70613
29	1080	70943
30	1122	71306
31	1163	71555
32	1205	71878
33	1251	72376
34	1293	72612
35	1336	72887
36	1378	73149
37	1421	73412
38	1464	73625
39	1507	73858
40	1550	74090
41	1591	74183
42	1632	74292
43	1673	74403
44	1699	73825
45	1738	73847
46	1780	73989
47	1821	74077
48	1862	74144
49	1904	74257
50	1946	74368
51	1993	74668
52	2034	74728
53	2076	74847
54	2119	74937
55	2161	75039
56	2174	74140
57	2216	74211
58	2259	74334
59	2303	74484
60	2345	74560
61	2389	74689
62	2431	74747
63	2473	74827
64	2517	74932
65	2558	74971
66	2600	75029
67	2643	75117
68	2685	75147
69	2729	75265
70	2771	75300
71	2815	75398
72	2859	75476
73	2902	75540
74	2947	75656
75	2991	75740
76	3037	75848
77	3081	75930
78	3126	76017
79	3170	76080
80	3215	76174
81	3260	76274
82	3310	76453
83	3342	76242
84	3386	76306
85	3432	76398
86	3479	76502
87	3524	76579
88	3567	76604
89	3590	76196
90	3632	76210
91	3677	76271
92	3720	76292
93	3765	76352
94	3811	76434
95	3855	76471
96	3902	76571
97	3947	76618
98	3962	76084
99	4005	76101
100	4050	76148
101	4093	76179
102	4140	76255
103	4184	76287
104	4232	76384
105	4278	76439
106	4323	76485
107	4368	76535
108	4416	76616
109	4462	76672
110	4517	76886
111	4565	76963
112	4612	77022
113	4659	77082
114	4705	77132
115	4751	77172
116	4797	77210
117	4843	77251
118	4889	77290
119	4935	77324
120	4982	77378
121	5029	77425
122	5080	77529
123	5126	77563
124	5173	77600
125	5220	77637
126	5266	77663
127	5310	77666
128	5355	77680
129	5408	77793
130	5453	77812
131	5499	77822
132	5545	77852
133	5592	77871
134	5639	77913
135	5695	78060
136	5740	78057
137	5785	78064
138	5832	78082
139	5846	77669
140	5888	77631
141	5933	77631
142	5977	77624
143	6024	77645
144	6070	77656
145	6114	77650
146	6130	77276
147	6175	77272
148	6222	77300
149	6271	77349
150	6316	77344
151	6364	77375
152	6383	77064
153	6427	77045
154	6476	77092
155	6523	77111
156	6571	77139
157	6616	77138
158	6664	77162
159	6709	77163
160	6754	77155
161	6800	77161
162	6846	77164
163	6895	77201
164	6942	77214
165	6990	77236
166	7035	77224
167	7081	77224
168	7128	77227
169	7174	77226
170	7222	77250
171	7267	77241
172	7315	77257
173	7365	77292
174	7411	77292
175	7459	77309
176	7508	77331
177	7560	77386
178	7609	77411
179	7658	77436
180	7707	77460
181	7757	77486
182	7807	77517
183	7856	77541
184	7904	77550
185	7954	77576
186	8001	77580
187	8048	77577
188	8096	77580
189	8144	77584
190	8197	77636
191	8243	77626
192	8293	77645
193	8341	77653
194	8389	77660
195	8410	77413
196	8455	77387
197	8504	77398
198	8552	77401
199	8602	77424
200	8648	77410
201	8695	77402
